version 3, schema units_tables
Unit_ID(string)	Screen_Name(string)	Category(string)	Class(string)	MP_Cost_Early(int)	MP_Cost_Late(int)	Turns_to_Build(int)	Cost(int)	Upkeep(int)	Campaign_Map_Action_Points(int)	Enabled__x0023__True_x0020_Disabled__x0023__False(boolean)	unknown4(string)	Unit_Icon_Path(string)	Unit_Info_Pic_Path(string)	Localisation_Key(string)	Region_IDRef(optstring)	Unit_Limit(int)	MP_Category(string)	Early_Availability(boolean)	Related_with_x0020_Early_x0020_availability(boolean)	Late_Availability(boolean)	unknown9(int)	Garrison_Availability(boolean)	MP_Unit_Limit(int)
"12_lber_howitzer"	"12-lber Howitzer Foot Artillery"	"artillery"	"artillery_foot"	790	760	1	630	150	22	true	"artillery_medium_howitzer"	"euro_howitzer_12_icon"	"12_lber_howitzer"	"12_lber_howitzer"	"global"	0	"mp_artillery"	true	true	false	0	false	0
"12_lber_howitzer_colonial"	"Colonial 12-lber Howitzer Battery"	"artillery"	"artillery_foot"	790	760	1	630	150	22	true	"artillery_medium_howitzer"	"euro_howitzer_12_icon"	"12_lber_howitzer"	"12_lber_howitzer"	"americas_inland"	0	"mp_artillery"	false	false	false	0	false	0
"12_lber_land_cannon"	"12-lber Foot Artillery"	"artillery"	"artillery_foot"	640	620	1	840	210	22	true	"artillery_medium_cannon"	"euro_cannon_12_icon"	"12_lber_land_cannon"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	true	true	false	0	false	0
"12_lber_land_cannon_colonial"	"Marine 12-lber Artillery Independent Company"	"artillery"	"artillery_foot"	640	620	1	840	210	22	true	"artillery_medium_cannon"	"euro_cannon_12_icon"	"12_lber_land_cannon_colonial"	"12_lber_land_cannon"	"americas_coastal"	0	"mp_artillery"	false	false	false	0	false	0
"12_lber_land_cannon_indian"	"12-lber Foot Artillery"	"artillery"	"artillery_foot"	640	620	1	840	210	22	true	"artillery_medium_cannon"	"ott_cannon_12_icon"	"East_Artillerymen_info_cn12"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	true	true	false	0	false	0
"12_lber_ship_fort_cannon"	"12-lber Garrison Artillery"	"artillery"	"artillery_fixed"	630	610	1	690	170	1	true	"artillery_garrison"	""	"placeholder"	"12_lber_ship_fort_cannon"	"global"	0	"mp_artillery"	false	false	false	0	false	0
"18_lber_land_cannon"	"18-lber Foot Artillery"	"artillery"	"artillery_foot"	650	630	1	860	210	22	true	"artillery_heavy_cannon"	"euro_cannon_18_icon"	"18_lber_land_cannon"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	false	true	true	0	false	0
"18_lber_land_cannon_east"	"18-lber Foot Artillery"	"artillery"	"artillery_foot"	650	630	1	850	210	22	true	"artillery_medium_cannon"	"ott_cannon_18_icon"	"East_Artillerymen_info_cn18"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	false	true	true	0	false	0
"18_lber_land_cannon_guard_galloper"	"18-lber Horse Guard Artillery"	"artillery"	"artillery_horse"	910	840	2	1160	290	24	true	"artillery_guards"	"euro_cannon_18_icon"	"18_lber_land_cannon"	"12_lber_land_cannon_galloper"	"global"	4	"mp_artillery"	false	false	true	0	false	0
"18_lber_land_cannon_indian"	"18-lber Foot Artillery"	"artillery"	"artillery_foot"	650	630	1	850	210	22	true	"artillery_heavy_cannon"	"ott_cannon_18_icon"	"East_Artillerymen_info_cn18"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	false	true	true	0	false	0
"18_lber_ship_fort_cannon"	"18-lber Garrison Artillery"	"artillery"	"artillery_fixed"	640	620	1	700	170	1	true	"artillery_garrison"	""	"placeholder"	"12_lber_ship_fort_cannon"	"global"	0	"mp_artillery"	false	false	false	0	false	0
"1st_rate"	"First Rate Ship of the Line"	"naval_line_of_battle"	"naval_first_rate"	3380	2780	4	3240	810	78	true	"naval_captain"	"1st_rate"	"3d_100"	"1st_rate"	"global"	0	"mp_naval_line_of_battle"	false	false	true	5	false	0
